n,time
10000,582.9
20000,723.2
30000,921.3
40000,1220
50000,1570
60000,2070
70000,2550
80000,3230
90000,3950
100000,4750
110000,5560
120000,6720
130000,7700
140000,8840
150000,10090
160000,11750
170000,13000
180000,14700
190000,15520
200000,17390
210000,19250
220000,21610
230000,23150
240000,25700
250000,28130
